,Message,Timestamp
0,Ped Begin Walk  (Ped 4),1633701684
1,Ped Begin Clearance  (Ped 4),1633701691
2,Ped Begin Don’t Walk  (Ped 4),1633701712
3,Ped Begin Walk  (Ped 4),1633701844
4,Ped Begin Clearance  (Ped 4),1633701851
5,Ped Begin Don’t Walk  (Ped 4),1633701872
6,Ped Begin Walk  (Ped 4),1633702244
7,Ped Begin Clearance  (Ped 4),1633702251
8,Ped Begin Don’t Walk  (Ped 4),1633702272
9,Ped Begin Walk  (Ped 4),1633702324
10,Ped Begin Clearance  (Ped 4),1633702331
11,Ped Begin Don’t Walk  (Ped 4),1633702352
12,Ped Begin Walk  (Ped 4),1633702484
13,Ped Begin Clearance  (Ped 4),1633702491
14,Ped Begin Don’t Walk  (Ped 4),1633702512
15,Ped Begin Walk  (Ped 4),1633702644
16,Ped Begin Clearance  (Ped 4),1633702651
17,Ped Begin Don’t Walk  (Ped 4),1633702672
18,Ped Begin Walk  (Ped 4),1633703364
19,Ped Begin Clearance  (Ped 4),1633703371
20,Ped Begin Don’t Walk  (Ped 4),1633703392
21,Ped Begin Walk  (Ped 4),1633704244
22,Ped Begin Clearance  (Ped 4),1633704251
23,Ped Begin Don’t Walk  (Ped 4),1633704272
24,Ped Begin Walk  (Ped 4),1633704324
25,Ped Begin Clearance  (Ped 4),1633704331
26,Ped Begin Don’t Walk  (Ped 4),1633704352
27,Ped Begin Walk  (Ped 4),1633704404
28,Ped Begin Clearance  (Ped 4),1633704411
29,Ped Begin Don’t Walk  (Ped 4),1633704432
30,Ped Begin Walk  (Ped 4),1633704884
31,Ped Begin Clearance  (Ped 4),1633704891
32,Ped Begin Don’t Walk  (Ped 4),1633704911
33,Ped Begin Walk  (Ped 4),1633705363
34,Ped Begin Clearance  (Ped 4),1633705370
35,Ped Begin Don’t Walk  (Ped 4),1633705391
36,Ped Begin Walk  (Ped 4),1633705683
37,Ped Begin Clearance  (Ped 4),1633705690
38,Ped Begin Don’t Walk  (Ped 4),1633705711
39,Ped Begin Walk  (Ped 4),1633705923
40,Ped Begin Clearance  (Ped 4),1633705930
41,Ped Begin Don’t Walk  (Ped 4),1633705951
42,Ped Begin Walk  (Ped 4),1633706243
43,Ped Begin Clearance  (Ped 4),1633706250
44,Ped Begin Don’t Walk  (Ped 4),1633706271
45,Ped Begin Walk  (Ped 4),1633706483
46,Ped Begin Clearance  (Ped 4),1633706490
47,Ped Begin Don’t Walk  (Ped 4),1633706511
48,Ped Begin Walk  (Ped 4),1633706645
49,Ped Begin Clearance  (Ped 4),1633706652
50,Ped Begin Don’t Walk  (Ped 4),1633706673
51,Ped Begin Walk  (Ped 4),1633707125
52,Ped Begin Clearance  (Ped 4),1633707132
53,Ped Begin Don’t Walk  (Ped 4),1633707153
54,Ped Begin Walk  (Ped 4),1633707365
55,Ped Begin Clearance  (Ped 4),1633707372
56,Ped Begin Don’t Walk  (Ped 4),1633707393
57,Ped Begin Walk  (Ped 4),1633707605
58,Ped Begin Clearance  (Ped 4),1633707612
59,Ped Begin Don’t Walk  (Ped 4),1633707633
60,Ped Begin Walk  (Ped 4),1633707765
61,Ped Begin Clearance  (Ped 4),1633707772
62,Ped Begin Don’t Walk  (Ped 4),1633707793
63,Ped Begin Walk  (Ped 4),1633708565
64,Ped Begin Clearance  (Ped 4),1633708572
65,Ped Begin Don’t Walk  (Ped 4),1633708593
66,Ped Begin Walk  (Ped 4),1633709001
67,Ped Begin Clearance  (Ped 4),1633709008
68,Ped Begin Don’t Walk  (Ped 4),1633709029
69,Ped Begin Walk  (Ped 4),1633709451
70,Ped Begin Clearance  (Ped 4),1633709458
71,Ped Begin Don’t Walk  (Ped 4),1633709479
72,Ped Begin Walk  (Ped 4),1633709631
73,Ped Begin Clearance  (Ped 4),1633709638
74,Ped Begin Don’t Walk  (Ped 4),1633709659
75,Ped Begin Walk  (Ped 4),1633709811
76,Ped Begin Clearance  (Ped 4),1633709818
77,Ped Begin Don’t Walk  (Ped 4),1633709839
78,Ped Begin Walk  (Ped 4),1633710171
79,Ped Begin Clearance  (Ped 4),1633710178
80,Ped Begin Don’t Walk  (Ped 4),1633710199
81,Ped Begin Walk  (Ped 4),1633710531
82,Ped Begin Clearance  (Ped 4),1633710538
83,Ped Begin Don’t Walk  (Ped 4),1633710559
84,Ped Begin Walk  (Ped 4),1633710890
85,Ped Begin Clearance  (Ped 4),1633710897
86,Ped Begin Don’t Walk  (Ped 4),1633710918
87,Ped Begin Walk  (Ped 4),1633711790
88,Ped Begin Clearance  (Ped 4),1633711797
89,Ped Begin Don’t Walk  (Ped 4),1633711818
90,Ped Begin Walk  (Ped 4),1633711880
91,Ped Begin Clearance  (Ped 4),1633711887
92,Ped Begin Don’t Walk  (Ped 4),1633711908
93,Ped Begin Walk  (Ped 4),1633712150
94,Ped Begin Clearance  (Ped 4),1633712157
95,Ped Begin Don’t Walk  (Ped 4),1633712178
